label,width,height,bbox,place
car,0.1125,0.129167,0.0145312875,Building_area
car,0.309375,0.4333330000000001,0.13406239687500002,Building_area
burlapbag,0.149219,0.430556,0.064247135764,Building_area
car,0.05,0.0777778,0.00388889,Building_area
signboard,0.0703125,0.266667,0.0187500234375,Market
signboard,0.0609375,0.22777799999999998,0.013880221874999998,Market
stop,0.11875,0.35833300000000007,0.042552043750000004,Market
signboard,0.110937,0.334722,0.037133054514,Market
stop,0.0421875,0.131944,0.0055663875000000005,Market
chair,0.0414063,0.180556,0.0074761559028,Market
chair,0.132812,0.275,0.03652330000000001,Market
person,0.0734375,0.305556,0.02243926875,Market
person,0.05859380000000001,0.277778,0.016276068576400005,Market
kickboard,0.084375,0.158333,0.013359346875,Market
signboard,0.0578125,0.291667,0.0168619984375,Market
signboard,0.0476562,0.154167,0.0073470133854000004,Market
signboard,0.0835937,0.325,0.027167952500000002,Market
car,0.0859375,0.168056,0.0144423125,Market
car,0.5,0.491667,0.2458335,Market
powerpole,0.0679687,0.652778,0.044368472048600005,Market
person,0.0757812,0.369444,0.027996909652800002,Market
person,0.0640625,0.390278,0.025002184375,Market
person,0.0773437,0.3875,0.02997068375,Market
powerpole,0.0898438,0.7625,0.0685058975,Market
signboard,0.0929687,0.40833299999999995,0.037962188177099995,Market
signboard,0.0867188,0.344444,0.0298697703472,Market
stop,0.192188,0.577778,0.111041998264,Market
car,0.0648438,0.119444,0.007745202847199999,Market
car,0.053125,0.0861111,0.004574652187499999,Building_area
person,0.0390625,0.166667,0.0065104296875,Market
car,0.49375,0.544444,0.26881922500000005,Market
powerpole,0.0632813,0.693056,0.0438574846528,Market
car,0.06875,0.10972200000000001,0.007543387500000002,Building_area
car,0.46875,0.5875,0.275390625,Building_area
burlapbag,0.147656,0.155556,0.022968776736,Building_area
car,0.145313,0.241667,0.035117356770999995,Market
car,0.458594,0.677778,0.310824924132,Market
powerpole,0.0609375,0.668056,0.0407096625,Market
person,0.0671875,0.293056,0.019689699999999997,Market
person,0.0460938,0.206944,0.009538835347199999,Market
car,0.199219,0.323611,0.064469459809,Market
car,0.0765625,0.120833,0.0092512765625,Building_area
car,0.115625,0.180556,0.0208767875,Building_area
car,0.282813,0.24444399999999997,0.06913194097199998,Building_area
car,0.0796875,0.0888889,0.00708333421875,Building_area
car,0.23046899999999998,0.186111,0.04289281605899999,Building_area
car,0.107813,0.105556,0.011380309028,Building_area
signboard,0.0398437,0.120833,0.0048144338021,Market
powerpole,0.05703129999999999,0.709722,0.04047636829859999,Market
powerpole,0.090625,1.0,0.090625,Market
powerpole,0.115625,0.988889,0.11434029062500001,Market
signboard,0.0640625,0.25,0.016015625,Market
person,0.09375,0.373611,0.035026031250000006,Market
person,0.0671875,0.380556,0.02556860625,Market
person,0.0703125,0.395833,0.0278320078125,Market
stop,0.059375,0.158333,0.009401021875,Market
person,0.0960938,0.366667,0.0352344253646,Market
car,0.128125,0.190278,0.024379368749999998,Market
powerpole,0.075,0.7152779999999999,0.05364584999999999,Market
person,0.0703125,0.35,0.024609375,Market
person,0.0578125,0.4,0.023125000000000003,Market
person,0.071875,0.4055560000000001,0.029149337500000004,Market
powerpole,0.0710938,0.8222219999999999,0.05845488642359999,Market
person,0.096875,0.258333,0.025026009374999998,Market
person,0.0734375,0.397222,0.029170990625000004,Market
person,0.0734375,0.3875,0.02845703125,Market
car,0.053125,0.075,0.003984375,Market
person,0.06875,0.4055560000000001,0.027881975000000007,Market
person,0.0765625,0.395833,0.030305964062500003,Market
person,0.0820312,0.372222,0.0305338173264,Market
person,0.0953125,0.397222,0.037860221875,Market
person,0.0703125,0.377778,0.026562515625,Market
person,0.0765625,0.4069439999999999,0.031156649999999998,Market
person,0.0835937,0.291667,0.024381523697900004,Market
person,0.0515625,0.291667,0.0150390796875,Market
person,0.05625,0.316667,0.01781251875,Market
car,0.0726563,0.115278,0.0083756729514,Building_area
car,0.270312,0.177778,0.048055526736,Building_area
person,0.084375,0.3791669999999999,0.031992215624999994,Market
powerpole,0.110937,0.795833,0.08828732552099999,Market
tree,0.0945313,0.169444,0.0160177615972,Market
person,0.040625,0.177778,0.00722223125,Market
car,0.435937,0.566667,0.24703111197900002,Market
powerpole,0.0695312,0.694444,0.0482855246528,Market
person,0.0890625,0.313889,0.0279557390625,Market
person,0.0789063,0.291667,0.0230143638021,Market
person,0.046875,0.288889,0.013541671875000001,Market
person,0.0546875,0.313889,0.017165804687499998,Market
person,0.040625,0.19305600000000003,0.007842900000000002,Market
person,0.075,0.376389,0.028229174999999995,Market
chair,0.0703125,0.129167,0.0090820546875,Market
car,0.08125,0.119444,0.009704825,Market
powerpole,0.108594,0.8763890000000001,0.09517058706600001,Market
person,0.0429688,0.230556,0.0099067146528,Market
person,0.0804688,0.369444,0.029728715347199997,Market
person,0.078125,0.36111100000000007,0.028211796875000007,Market
car,0.12265600000000002,0.18333300000000002,0.022486892448000007,Market
signboard,0.05078119999999999,0.19166699999999998,0.009733080260399997,Market
signboard,0.0757812,0.384722,0.029154694826400002,Market
person,0.0484375,0.248611,0.0120420953125,Market
person,0.0492188,0.24583300000000002,0.012099605260400001,Market
signboard,0.05625,0.2,0.011250000000000001,Market
signboard,0.0703125,0.394444,0.02773434375,Market
stop,0.0609375,0.19166699999999998,0.011679707812499999,Market
chair,0.23281199999999996,0.280556,0.065316803472,Market
car,0.539844,0.523611,0.28266825668400003,Market
car,0.103125,0.186111,0.019192696874999998,Market
powerpole,0.0679687,0.672222,0.0456900554514,Market
person,0.0484375,0.295833,0.0143294109375,Market
person,0.0789063,0.302778,0.0238910917014,Market
person,0.065625,0.316667,0.020781271875,Market
chair,0.0492188,0.0833333,0.00410156502604,Market
car,0.0554687,0.0736111,0.00408311202257,Building_area
car,0.439844,0.544444,0.23947042673600002,Building_area
burlapbag,0.125,0.134722,0.01684025,Building_area
person,0.164844,0.929167,0.153167604948,Market
signboard,0.0625,0.233333,0.0145833125,Market
stop,0.0953125,0.290278,0.027667121874999995,Market
car,0.0546875,0.0736111,0.00402560703125,Building_area
bollard,0.0546875,0.161111,0.0088107578125,Building_area
car,0.132812,0.133333,0.017708222396000003,Building_area
car,0.132812,0.152778,0.020290751736000003,Building_area
car,0.310156,0.684722,0.212370636632,Building_area
bicycle,0.114063,0.11805600000000001,0.013465821528,Building_area
